,PolymerLength,reduce_first,reduce_all,reduce_sequential
0,0,2.312810677522066e-06,2.00094219233506e-06,3.155825989215373e-05
1,10,1.1993406769324792e-05,6.604323999908956e-06,6.611764216359006e-05
2,20,2.0687680517767148e-05,9.224260465416591e-06,7.23937292021219e-05
3,30,3.383940909880039e-05,1.1306420906803396e-05,6.897450897213276e-05
4,40,4.577524410779006e-05,1.4565457860699098e-05,0.00010427748974852875
5,50,5.766277060265565e-05,1.7120100256033766e-05,0.00010651837010591407
6,60,6.368313987004512e-05,1.7885423487587106e-05,0.00011436127504857723
7,70,8.101708111480548e-05,1.9369863033025467e-05,0.00010749578887262032
8,80,8.876996296457946e-05,2.0970267696066002e-05,0.0001399994499175591
9,90,9.674407665334001e-05,2.365858362954896e-05,0.00014147821938331618
10,100,0.00011041767823626287,2.414977896205528e-05,0.00014499955746578053
