,PolymerLength,reduce_first,reduce_all,reduce_sequential
0,0,2.337162400181114e-06,2.1192416338999464e-06,3.3327726724746754e-05
1,100,0.00011027666674071952,2.5105547051498435e-05,0.00015609489484777443
2,200,0.00021855089266682625,4.4996278128564885e-05,0.00015780882451981598
3,300,0.00036065197453172005,7.323842297028023e-05,0.00017041843988881738
4,400,0.0004685985841024376,9.481646114381874e-05,0.00017793154225109902
5,500,0.0006228787008458312,0.00011490772544821084,0.00021047818729530264
6,600,0.0007920618179723533,0.00013736571907938924,0.00019659925689520606
7,700,0.0009247649543940497,0.00016779031565911283,0.0002600274547512527
8,800,0.0011443373782021808,0.00020463768790614267,0.00027879584151924066
9,900,0.0013011986506062385,0.00021328561721566076,0.0002694574883316818
10,1000,0.0015471214296212566,0.0002449012478755321,0.0002756705979918479
